키워드,언론사,기사명,날짜,URL
경향신문,코로나19 확진자 오후 6시까지 1579명...전날보다 90명 적어,2021-09-30,https://www.khan.co.kr/national/national-general/article/202109301951001,코로나 확진자
KBS,군 코로나19 확진자 11명 늘어,2021-09-30,https://news.kbs.co.kr/news/view.do?ncd=5290608&ref=A,코로나 확진자
부산일보,경남에서 코로나19 확진자 36명 추가…도내 하루 41명 감염,2021-09-30,http://www.busan.com/view/busan/view.php?code=2021093013311842396,코로나 확진자
조선비즈,"美, 3개월 만에 코로나 사망자 감소 전망… 확진자 2주 넘게 하락세",2021-10-01,https://biz.chosun.com/international/international_general/2021/10/01/ANU3R42GBRH3ZDRJZOQIVENFR4/?utm_source=naver&utm_medium=original&utm_campaign=biz,코로나 확진자
뉴시스,백신 접종 완료 60% 日 오늘부터 위드코로나…성공 여부 주목,2021-10-01,http://www.newsis.com/view/?id=NISX20210930_0001599392&cID=10101&pID=10100,코로나 확진자
파이낸셜뉴스,"정부, 국산 코로나19 백신·치료제 지원에 내년 5265억원 투입",2021-09-30,http://www.fnnews.com/news/202109301346050028,코로나 확진자
이데일리,생산·소비·투자까지 파고든 코로나…`위드코로나`가 처방될까,A3면 TOP,http://www.edaily.co.kr/news/newspath.asp?newsid=03411206629185368,코로나 확진자
경향신문,[속보]오후 9시까지 코로나 신규 확진 2302명...역대 7번째로 큰 규모,2021-09-30,https://www.khan.co.kr/national/national-general/article/202109302219001,코로나 확진자
한국경제,[속보] 코로나19 신규 확진 2564명…일주일째 '요일 최다',2021-09-30,https://www.hankyung.com/society/article/2021093057677,코로나 확진자
국제뉴스,"[속보]양주 코로나 확진자 16명 추가, 감염경로 공개",11분 전,http://www.gukjenews.com/news/articleView.html?idxno=2319487,코로나 확진자
뉴시스,"'위드 코로나' 대비 나선 서울시…""재택치료 지원 확대""(종합)",2021-09-30,http://www.newsis.com/view/?id=NISX20210930_0001598723&cID=10201&pID=10200,코로나 확진자
MBN,"신규 확진자 2,500명대 예상…오늘 새 거리두기 발표",2021-10-01,http://www.mbn.co.kr/pages/news/newsView.php?news_seq_no=4607061,코로나 확진자
국제뉴스,"[속보]포천 코로나 확진자 15명 추가, 타시군 11명",17분 전,http://www.gukjenews.com/news/articleView.html?idxno=2319484,코로나 확진자
뉴시스,"음성군, 코로나19 PCR검사 의무화 행정명령…외국인 중점",2021-09-30,http://www.newsis.com/view/?id=NISX20210930_0001598430&cID=10806&pID=10800,코로나 확진자
